CommunityID,Glendale Community,             Address,    Tele #,     Fax#,Bdrms,Felony,Msdmnr,Jdgmnts,W/D,Pets,Utilities,X,S8,      Management
1,Glendale Shadow,5902 w royal palm rd Glendale 85302,623-930-5773,623-930-6687,S-1-2,7 yrs,7 YRS,YES,no,yes,NO,Y,Y,
1,Glendale West           ,75th Ave/Glendale,623-206-6581,,1-2-3,YES,YES,YES,NO,YES,NO,N,N,PRIVATE
1,GlenRidge,13610 n 51st ave Glendale AZ 85304,602-843-2222,602-978-4783,S-1-2X2,NO,YES,1 YR,NO,YES,NO,Y,Y,LIVING WELL
1,Hidden Village,8605 n 59th ave Glendale AZ 85302,623-931-2941,623-931-9513,1-2x2,NO,NO,NO,NO,YES,NO,N,N,DESERT PASCIFIC
1,Indigo Creek,14221 n 51st Ave Glendale AZ 85306,602-439-4400,602-439-5900,"1,2,3",NO,YES,PAID OFF,YES,yes,NO,Y,N,MEB
1,Isle @ Arrowhead Ranch,20250 n 67th Ave Glendale AZ 85308,623-561-5701,623-561-5651,1-2-3,NO,LOCATORS,,,,,,,
1,THE VILLAS,5712 n 67th Ave Glendale AZ 85301,623-478-2939,,1-2,SOME,YES,2 YRS,no,NO,NO,Y,N,
1,Laguna @ Arrowhead Ranch,20251 N 75th Ave Glendale AZ 85308,623-825-0200,623-825-0300,,NO,SOME,7 YRS,YES,YES,WST,Y,N,
1,Maryland West,4530 W Mclellan Rd Glndle Az 85301,623-939-7214,623-915-1369,1-2-3,NO,LOCATORS,,,,,,,
1,Maryland Gardens  ,4529 W Ocotillo Rd Gndle Az 85301,623-931-9060,623-939-4576,1-2,NO,LOCATORS,,,,,,,
1,Meadow Glen,4201 w union hills glndle az 85308,602-843-1499,602-843-0870,1-2,NO,LOCATORS,,,,,,,MILE STONE
1,Northen Terrace,5220 w northern glndle 85301,623-931-9301,623-931-8044,S-1-2,NO,10 YRS,NO,YES,YES,NO,Y,Y,CHAMBERLYN
1,Northwest Gardens      ,9350 N 67th ave glendale az 85302,623-878-7394,,1-2,NO,YES,6 YRS,YES,yes,no,n,y,CAL CAP
1,Northern Green,8150 n 61st ave glndle az 85302,623-435-9988,623-931-0118,1-2,NO,YES,NO,YES,yes,NO,Y,N,
1,Norwood Village,6738 n 45th ave glndle 85301,623-934-7579,623-934-7604,2-3,no,LOCATORS,,,,,,,
1,Olive Tree,6201 w olive ave glendale az 85302,623-937-3069,623-9371916,1-2,no,no,no,no,YES,NO,Y,N,WESTWOOD
1,Paseo Park,5205 W Thunderbird Road Glendale az 85306,602-978-9310,602-547-1981,1-2-3,NO,5 YRS,NO,YES,YES,NO,Y,Y,PINACOLE
1,Pavilions At Arrowhead,7400 W Arrowhead Clbhse Dr Gndle Az,866-220-8584,623-362-1168,1-2,NO,YES,NO,YES,YES,NO,Y,N,MARK TAYLOR
1,Ranchwood,5740 n 59th ave glendale az 85301,623-931-6220,623-939-2442,1-2,NO,YES,1 YR,NO,YES,NO,N,Y,
1,Ridgeway Village,6033 W Bethany H Glnde 85301,623-937-4693,623-847-0578,S-1-2,YES,YES,1 YR,NO,yes,YES,N,Y,
1,Rosewood,5150 W Engie Ave Glndale Az 85304,602-978-4886,602-978-4034,1-2,NO,NO,NO,NO,YES,NO,Y,Y,CAM PROPERTIES
1,Sagestone                 ,6233 w behrend dr glendale az 85308,623-566-6667,,1-2-3,NO,YES,PAID OFF,YES,YES,NO,Y,N,NALS
1,SAGEWOOD ,15082 N 59th Av Glendale 85306,602-938-5763,602-938-3507,S-1-2,NO,YES,2 YRS,NO,YES,NO,N,Y,CAM
1,San Bellino,6755 n 83rd glendale az 85303,623-463-1299,,2-3,NO,YES,5YRS,YES,YES,NO,Y,Y,TRINDY
1,San Lagos                      ,5901 W Behrend Dr Glendale Az 85308,877-893-5421,623-322-3901,1-2-3,NO,NO,YES,YES,YES,NO,Y,N,MARK TAYLOR
1,San Martin,6802 n 67th ave Glendale Az 85301,623-939-8442,623-939-8443,1-2-3,NO,LOCATORS,,,,,,,
1,San Prado,5959 W Utopia Rd Glendale Az 85308,877-461-5056,623-594-1284,1-2-3,NO,YES,NO,YES,YES,NO,Y,N,
1,Shadow Palms,6320 N 63rd Ave Glendale Az 85301,623-939-1670,623-939-1677,1-2,4 yrs,yes,yes,no,yes,NO,n,n,
1,Sierra Canyon               ,17500 n 67th ave glndle az 85308,623-979-6666,623-979-6656,1-2-3,NO,LOCATORS,,,,,,,
1,Sonoma Point         ,8080 n 51st ave Glendale 85302,623-934-1651,623-934-9392,1-2,10YRS,YES,YES,Y,yes,WATER,Y,Y,
1,Sonoma Lane,5920 w Laura Lane Glendale Az 85302,623-842-2960,,1-2,NO,SOME,YES,Y,yes,WST,Y,N,
1,Sienna Park,6444 N 67TH AVE GLENDALE 85301,623=934-0636,623-934-0349,1-2,NO,SOME,2 YRS,no,yes,wst,Y,N,
1,Spring Meadow,10030 N 43rd Ave. Glendale 85302,623-930-0004,623-930-1604,1-2,NO,NO,PAID OFF,no,yes,NO,NO,Y,
1,StillWater                       ,7711 n 51st ave glendale az 85301,623-939-1775,623-939-5408,S-1-2,NO,YES,5 YRS,no,yes,NO,YES,Y,
1,Stoneview               ,7841 n 59th ln glendale az 85301,623-847-3211,623-847-3412,,NO,NO,YES,no,yes,ALL,N,Y,
1,Strayhorse                    ,20707 n 67th Ave Glendale az 85308,623-434-8300,623-434-8305,1-2-3,NO,LOCATORS,,,,,,,
1,Sunset Estate,5236 w Peoria ave #119 Glndl 85302,623-979-4045,623-486-7687,2-3,NO,YES,2 YRS,no,NO,WST,N,Y,
1,Sunset Landing,8450 N 67th Ave Glendale 85302,623-934-8151,623-939-4521,1-2,NO,YES,PAID OFF,YES,yes,NO,N,N,
1,Sun Creek,15050 N 58th Ave Glendale Az 85306,602-978-3589,602-588-4509,1-2,NO,YES,NO,YES,YES,WST,Y,N,
1,Summer Hill Place,6801 w Ocotllo rd glendale az 85303,623-939-7793,623-939-0096,1-2,NO,NO,NO,SOME,yes,NO,N,Y,HOME INC
1,TELA VERDE,5020 W Thunderbird Rd Glnde Az 85306,602-978-0025,602-978-0174,1-2,NO,SOME,1 YR,YES,yes,NO,N,N,
1,The Vineyards,6706 N Dysart Rd Glendale Az 85307,623-935-1661,623-935-4927,1-2,NO,YES,2YRS ,no,yes,NO,Y,Y,
1,Thunderbird Paseo,"5757 W Eugie Ave Glendale,Az 85304",602-787-4002,602-7874001,,NO,LOCATORS,,,,,,,
1,Tresa @ Arrowhead,17722 N 79th Ave Glendale Az 85308,623-878-2500,623-878-2501,1-2-3,NO,NO,PAID OFF,YES,YES,NO,Y,YN,
1,Village Diamante   ,8050 n 61st ave glendale az 85302,623-328-8656,623-877-4545,2-3,NO,LOCATORS,,,,,,,
1,Village Sereno   ,8622 North 59th Ave Glndale Az 85302,623-847-1733,623-466-9419,1-2-3,NO,NO,NO,YES,YES,,,,
2,Arrowhead Landing,15740 n 83rd ave peoria  85382,623-487-8400,623-487-8900,1-2-3,7 YRS,YES,NO,YES,YES,ALL,Y,N,
2,Vue Park West,9680 W Northern Ave Peoria Az 85345,623-251-6575,623-251-6582,S-1-2-3,NO,NO,PAID OFF,YES,YES,NO,Y,N,
2,Cedar Meadows,8560 w peoria ave peoria 85345,623-979-8853,623-979-5340,2,NO,LOCATORS,,,,,,,
2,Enclave @ Paradise Lane,8092 w Paradise Lane Peoria 85382,623-412-2272,623-412-2282,1-2-3,NO,LOCATORS,,,,,,,
2,Fountain Palms,8820 w bell rd Peoria Az 85354,623-933-4411,,1-2,NO,YES,PAID OFF,YES,YES,NO,Y,N,
2,IronWood Estates ,8930 W Monroe Peoria Az 85345,623-412-1200,,,NO,LOCATORS,,,,,,,
2,Napa                  ,11600 n 75th ave peoria 85345,623-878-6026,623-878-6993,2,NO,2,2YRS ,yes,yes,NO,Y,Y,
2,MONTEBELLA VILLAS,10860 N 85th Ave Peoria Az 85345,623-878-0660,623-979-8287,1-2,NO,NO,NO,no,yes,WST,N,Y,
2,Park On Olive,9680 w olive ave peoria ax 85345,623-979-7321,623-979-6809,1-2-3,10,3,5 YRS,YES,YES,NO,Y,Y,
2,SunTree  ,8650 W Peoria Ave Peoria Az 85345,623-878-1972,623-878-8285,1-2,NO,YES,2 YRS,yes,yes,NO,y,n,
2,SunWood  ,9415 N 99th Ave Peoria Az 85345,623-972-0702,623-972-0669,1-2,NO,LOCATORS,,,,,,,
2,Sonoma Ridge,8201 W Beardsley Rd. Peoria 85382,623-486-7001,623-486-7003,1-2-3,7,4,PAID OFF,YES,YES,WST,Y,N,
2,Sierra,17374 n 89th peoria az 85382,623-933-5504,,1-2,NO,LOCATORS,,,,,,,
2,Tuscany Ridge,8203 W Oraibi Dr Peoria 85382,623-537-0912,623-537-9013,1-2-3,7 YRS,3,PAID OFF,YES,YES,WST,Y,N,
2,Waterford at Peoria,14109 n 83rd Peoria Az 85381,623-322-9482,,1-2-3,NO,LOCATORS,,,,,,,
2,Artessa,7100 West Grandview Rd Peoria 85382,623-412-2300,623-412-9200,1-2-3,,,,,,,,,
11,Ashton Pointe            ,12175 W McDowell Rd Avndle Az 85392,623-266-0114,,1-2-3,NO,SOME,1,YES,YES,NO,NO,NO,
11,Club @ Coldwater springs,105 w links dr avndle 85323,623-925-9506,623-925-9507,1-2-3,NO,LOCATORS,,,,,,,
11,EdgeWater,102 S 4th Ave Avondale Az 85323,623-932-9450,623-932-2923,1-2-3,NO,NO,YES,YES,,,,Y,
11,Newport,1333 N Dysart Rd Avondale Az 85323,888-672-1978,,,NO,LOCATORS,,,,,,,
11,Rio Santa Fe,3015 w rancho santa fe blvd avdle 85323,623-536-7777,623-536-7757,1-2-3,NO,LOCATORS,,,,,,,
11,Siesta Pointe             ,12851 W Buckeye Rd Avdle 85323,623-925-9420,623-925-9421,1-2-3,NO,LOCATORS,,,,,,,
11,Rose Terrace,525 E Harrison Dr Avndle Az 85325,623-925-0770,,,NO,LOCATORS,,,,,,,
11,Summer Estate,1223 n dysart avdle az 85323,623-932-1549,623-932-1689,1-2,NO,LOCATORS,,,,,,,
11,Las Casitas,1408 n central ave avndle az 85323,623-932-4830,623-932-0320,1-2-3,NO,LOCATORS,,,,,,,
11,Versante,11120 W Van Buren St Avndle 85323,623-463-5755,623-463-5756,1-2-3,YES,YES,PAID OFF,YES,yes,NO,,,
11,Village @ Gateway*,1700 n 103rd ave Avondale 85353,623-925-4770,623-925-4771,1-2-3,NO,YES,PAID OFF,YES,YES,NO,N,N,
3,Aldea At Estrella Falls,2400 N Bullard Ave GoodYear Az 85395,866-337-7019,623-536-2992,1-2-3,NO,LOCATORS,,,,,,,
3,Broadstone  Canyon Trails,16450 w Van Buren  goodyear az 85338,623-594-9870,623-594-9871,1-2-3,NO,LOCATORS,,,,,,,
3,Canyon Trails,16450 W Van Buren St GdYr 85338,623-594-9871,,"1,2,3",NO,LOCATORS,,,,,,,
3,Counrty Aire,1701 N Palo Verde Dr GoodYear Az 85338,623-932-2622,623-932-2322,,10 YRS,3,2 YRS,NO,YES,WST,Y,Y,Y HOME INC
3,Desert Sage,1737 n central ave goodyear 85338,623-925-5415,623-925-5418,1-2-3,NO,LOCATORS,,,,,,,
3,Greens Of Litchfield,1425 N Palo Verde Dr GoodYear Az 85338,623-932-4359,623-932-2322,2-1,YES,YES,DEPENDS,NO,YES,NO,Y,Y,HOME INC
3,Palm Valley,1891 N Litchfield Rd Goodyear,623-935-7100,623-935-7175,1-2-3,NO,YES,NO,YES,YES,NO,Y,N,
3,River Wood,25157 W Beloat Rd. Bckye 85258,623-386-7368,623-386-4331,2-3,NO,LOCATORS,,,,,,,
3,Remington Ranch,12740 W IndnSchl Rd Litchfield Pk Az 85340,888-694-5093,623-935-0042,1-2-3,NO,LOCATORS,,,,,,,
4,Alta vista village   ,4647 n 39th ave phx az 85019,602-973-5990,602-973-7141,S-1-2,NO,LOCATORS,,,,,,,
4,Estancia del sol    ,4001 w camelback rd phx az 85019,602-841-4551,,S-1,NO,LOCATORS,,,,,,,
4,Broadstone Desert sky,7850 w mcdowell rd phx 85035,623-247-9339,623-247-3180,1-2-3,NO,YES,YES,YES,YES,NO,Y,N, MANAGEMENT SUPPORT
4,Brookside,6131 w thomas rd phx 85033,623-245-0568,623-245-0224,S-1-2,NO,YES,YES,NO,YES,WST,N,N,
4,Casa Anita,1801 n 83rd ave phx az 85035,623-873-2437,,1-2,NO,NO,PAID OFF,NO,YES,NO,Y,Y,HOME INC
4,Camelback palms,3734 w camelback rd phx 85019,602-418-1113,623-398-7224,1-2,YES,YES,1,NO,,NO,N,,
4,Canyon palms          ,6236 n black canyon hwy phx 85017,602-246-2892,602-433-0392,1,no,YES,YES,NO,YES,YES,N,N,
4,Camelback Vista          ,2930 w camelback rd phx 85017,602-242-8431,602-336-0612,S-1,NO,LOCATORS,,,,,,,
4,Camelback Villas,,,,,,,,,,,,,
4,Cedar Ridge,2122 w butler dr Phoenix  Az 85021,602-997-2988,602-371-1765,S-1-2x2,5 YRS,YES,1,NO,YES,NO,Y,N,
4,Cimmaron Springs,2738 w augusta ave phx 85051,602-995-4719,602-443-0052,1-2,,,,,,,,,
4,Cinnabarr,4141 w Glendale Ave Az 85051,623-931-8335,623-931-3541,S-1-2,NO,LOCATORS,,,,,,,
4,Colony,4337 n 53rd lane phx az 85031,623-247-3711,623-247-4226,1-2,7 YRS,5,PAID OFF,NO,YES,NO,N,N,
4,Copper Sky         ,3535 w camelback rd 85019,602-535-5564,602-535-4805,S-1,10 YRS,NO,2,NO,NO,YES,Y,N,
4,Del Mar Apt,8550 w mcdowell rd az 85037,623-266-3188,,1-2-3,NO,LOCATORS,,,,,,,
4,Del Mar Terrace        ,7007 W Indian School Rd Phx Az 85033,623-846-2030,623-846-1550,,NO,LOCATORS,,,,,,,
4,Desert Place,6131 n 27th ave Phx Az 85017,602-246-8834,602-246-2940,,NO,NO,NO,NO,YES,NO,N,Y,HOME INC
4,Desert Sky,4620 w mcdowell rd phx 85035,602-233-1861,602-233-0216,S-1-2,NO,LOCATORS,,,,,,,
4,Desert Sun                    , 2641 w butler phx 85051,602-246-1585,623-594-0780,S-1-2,NO,YES,2,NO,YES,NO,Y,Y,
4,Garden Springs,6630 n 27th ave phx 85017,602-418-1113,623-398-7224,2,YES,YES,2,NO,YES,NO,Y,N,
4,Highland Park             ,7232 n 27 ave phx az 85049,602-995-0362,623-321-1495,S-1-2,NO,LOCATORS,,,,,,,
4,La Estrella Vista,3065 N 67th ave phoenix az 85033,623-322-3722,623-322-3930,3x2,NO,LOCATORS,,,,,,,
4,Las Ventanas                ,6801 n 25th dr phx az 85017,602-246-6564,602-242-0891,1-2,NO,LOCATORS,,,,,,,
4,Los Vecinos,1950 N 43rd Ave Phx Az 85009,602-269-6211,602-484-9636,S-1,NO,LOCATORS,,,,,,,
4,Madera Court     ,8135 n 35th ave phx 85051,602-841-0236,602-973-9032,1-2,NO,LOCATORS,,,,,,,
4,Mission Gardens         ,4246 w Osborne phx az 85019,602-272-8736,602-272-3845,2x2,NO,LOCATORS,,,,,,,
4,La Reserve,2627 n 45th ave phoenix az 85009,602-272-6501,602-272-8401,1-2-3,NO,YES,1,NO,YES,NO,,,PBBELL
4,Lynnwood               ,5535 w mcdowell phx 85035,602-272-1749,602-272-6116,1-2,NO,LOCATORS,,,,,,,
4,Missouri meadows,3501 w missouri ave phx az 85051,602-433-0951,,1,SOME,SOME,YES,NO,YES,WST,Y,Y,HOME INC
4,Orange Arbor,3535 w camelback rd,602-336-8611,,S-1,NO,LOCATORS,,,,,,,
4,Oasis West,5235 n 43rd ave phoenix az,602-841-5350,,,NO,LOCATORS,,,,,,,
4,Palm Aire                       ,6241 N 27th Ave Phx Az 85017,602-246-1513,602-246-6998,1-2,NO,LOCATORS,,,,,,,
4,Palm Crest @ Station,3816 n 83rd Ave Phx Az 85033,623-245-0641,,1-2-3,10 YRS,3,PAID OFF,Y/N,YES,NO,N,N,
4,Paradise Villas,"5137 N 29th Ave Phoenix,Az",602-256-9244,602-256-2444,large 2,NOT ,WORKING,,,,,,,
4,Plaza Apt-NN Bella Sol Apt  ,4102 W Osborn Rd Phx Az 85019,602-278-1677,,,NO,LOCATORS,,,,,,,
4,Promenade Desert sky,6233 w thomas rd phx 85033,623-247-8570,623-247-4801,1-2,NO,LOCATORS,,,,,,,
4,Posada Bonita               ,7328 n 27th ave Phx Az 85051,602-973-8450,602-973-8451,1-2,NO,LOCATORS,,,,,,,
4,Rancho Viejo,8530 n 22nd Ave Phoenix Az 85051,602-371-0021,602-371-0016,1-2x2,DUI,YES,2,YES,YES,NO,N,Y,
4,Rancho Veredas        ,2827 n 51st ave phx az 85035,602-288-8884,602-415-5784,,NO,LOCATORS,,,,,,,
4,Ridge At Sun Valley,801 n 59th ave phoenix az 85043,602-272-7222,602-272-8762,2-3,NO,LOCATORS,,,,,,,
4,San Remo                     ,5755 N 59th Ave Glendale Az 85301,623-931-7779,623-931-7708,1-2-3,NO,NO,NO,YES,YES,WST,N,Y,
4,Pine Crest                      ,2601 w Claremont Phx 85017,602-246-6898,602-246-6753,2,NO,LOCATORS,,,,,,,
4,bella gardens,2634 n 51st ave phoenix az 85035,602-269-7715,,S-1,10 YRS,5,YES,NO,YES,ALL,Y,Y,
4,Sans Souci-NN Bella Verde,3030 N 35 Ave Phx Az 85017,602-278-5761,602-233-9438,S-1-2,NO,LOCATORS,,,,,,,
4,San Marina                     ,7002 w indian school phx 85033,623-848-1555,,1-2,NO,LOCATORS,,,,,,,
4,Seville Gardens-NN Bella Rio Apt,4903 W Thomas Rd Phx Az 85031,602-278-0662,602-278-2240,S-1,NO,YES,1,NO,YES,ALL,Y,N,
4,Sterling Place            ,4235 n 35th ave phx az 85017,602-246-0105,602-246-0012,1-2-3,NO,LOCATORS,,,,,,,
4,StonyBrook              ,6441 w mcdowell rd phx az 85035,623-849-0520,623-849-0583,1-2,NO,NO,PAID OFF,NO,YES,NO,N,N,
4,Sonoma Vista,2045 w butler dr Phoenix 85021,602-995-9698,602-995-0330,S-1-2-3,NO,YES,1,YES,YES,WST,N,Y,
4,Sunpointe Apartments,7077 w mcdowell rd phoenix az 85035,623-849-4160,623-849-1003,1-2,NO,LOCATORS,,,,,,,
4,Sun Dancer                    ,400 N 96Th Ave Tolleson Az 85353,623-936-3338,623-907-4534,1-2,NO,LOCATORS,,,,,,,
4,Sienna park,6444 N 67th ave,623-934-0636,,S-1-2,NO,NO,NO,,,,,,
4,The Greens                ,8445 n 23rd ave phoenix az 85021,602-995-9183,602-995-2499,1-2,12 YRS,YES,YES,NO,YES,WST,Y,N,
4,Terrace Park                ,8130 W Indian School Rd,623-849-5499,623-849-9739,,NO,LOCATORS,,,,,,,
4,The Cove on 44th,4030 n 44th ave phx az 85031,602-233-2749,,S-1,NO,LOCATORS,,,,,,,
4,Tamarron,4410 N 99th Ave Phx 85037,623-772-1900,623-772-1901,1-2-3,7 YRS,YES,PAID OFF,YES,YES,WST,Y,N,
4,Twillinggate,7141 n 19th ave phoenix,602-995-3723,602-995-2479,1-2,10RS,YES,5,NO,CAT,ALL,Y,N,
4,Ventana Palms,7021 w mcdowell rd phx az 85035,623-849-8680,623-849-2449,1-2,NO,YES,PAID OFF,NO,NO,ALL,NO,N,
4,Villa De La Paz               ,6041 w thomas rd phx 85033,623-245-1058,623-245-9791,1-2,NO,LOCATORS,,,,,,,
4,Villa De Paz*     ,4405 N 103rd Ave Phx 85037,623-877-3739,623-877-6849,1-2,NO,LOCATORS,,,,,,,
4,Villa Del Sol        ,6231 w mcdowell  phx 85035,623-247-1717,623-247-5263,1-2,NO,LOCATORS,,,,,,,
4,Villa De Sonora               ,5704 w Thomas rd phx 85031,623-247-5550,623-247-3043,1-2,NO,LOCATORS,,,,,,,
4,Villa De Cortez                ,3045 n 67th ave phx az 85033,623-873-0957,623-849-5990,1-2,NO,LOCATORS,,,,,,,
4,Vista Vantana               ,3221 w el comino dr. phx 85051,602-973-3183,602-973-5207,S-1-2,NO,LOCATORS,,,,,,,
4,West Town Court,8400 W Virginia Ave Phoenix Az 85037,855-248-2761,623-877-8334,1-2-3,NO,NO,PAID OFF,Y,YES,NO,Y,N,
4,West Wind,4635 N 27th Ave Phoenix Az,602-579-9091,,1-2,YES,YES,NO,NO,NO,NO,Y,Y,
4,Whispering palm Estates,1401 n 43rd Ave Phx Az 85009,602-269-0808,,1-2,NO,LOCATORS,,,,,,,
5,Accolade,220 w bell rd phx az 85023,602-993-3023,602-993-0440,1-2-3,NO,LOCATORS,,,,,,,
5,Adagio,15645 n 35th ave phx 85083,602-843-3100,602-843-6737,1-2-3,NO,NO,7,Y,YES,NO,Y,N,
5,August Cove,2820 w augusta cove Phx az 85051,602-864-6341,,1-2,,,,,,,,,
5,Autumn Ridge,1944 w thunderbird rd phx 85023,602-993-5365,602-863-4859,1-2-3,NO,5,PAID OFF,Y,YES,WST,Y,N,
5,Avalon Hills                     ,3535 w tierra buena lane phx az 85053,602-843-3400,602-588-2325,S-1-2,NO,LOCATORS,,,,,,,
5,Banyantree,12435 n 28th dr phx 85029,602-942-0842,602-548-3221,S-1-2-3,DUI,YES,1,NO,YES,WST,N,Y,
5,BaySide,20245 N 32nd Dr Phx Az 85027,623-322-0700,623-322-0704,1-2,NO,YES,1,Y,YES,NO,N,N,
5,Bell Cove                       ,17239 n 19th ave phx 85023,602-866-2533,602-866-3168,1-2,NO,LOCATORS,,,,,,,
5,Biltmore On The Lakes   ,11050 n biltmore dr phx 85029,602-375-9900,602-548-0230,S-1-2,NO,LOCATORS,,,,,,,
5,Brentwood                   ,11821 n 28th dr phx az 85029,602-993-2202,602-993-2166,S-1-2,7 YRS,YES,3,Y/N,YES,NO,Y,,
5,Canyon Crossroads,33600 N 27th Dr Phx Az 85085,623-518-9110,,1-2-3,NO,YES,PAID OFF,YES,YES,NO,Y,N,
5,Bridgelane,10227 n 32 ln phx az,602-242-7160,602-371-1484,1-2,NO,YES,3,NO,YES,NO,N,N,
5,Brookfield,12021 n 43rd Phoenix az 85029,602-978-1828,,1-2,NO,YES,1,Y,YES,WST,Y,Y,
5,Bell Tower             ,17216 n 33rd ave phx 85053,602-866-3298,602-504-9686,1-2,NO,YES,PAID OFF,NO,NO,NO,Y,N,
5,Cactus Trail,2403 w lone cactus dr phx 85027,623-582-6151,623-582-2671,1-2,YES,YES,1,NO,YES,WST,Y,Y,
5,Canyon Spring           ,14020 n blck cyn hghwy phx az 85053,602-866-0546,602-866-1520,1-2,SOME,SOME,1,NO,YES,WST,Y,Y,
5,Carleton club           ,17425 n 19th ave phx 85023,602-866-3516,602-863-1208,1-2,NO,LOCATORS,,,,,,,
5,Carob Tree                 ,9202 n 19th ave phx az 85021,602-943-6366,602-943-7234,S-1-2,SOME,SOME,YES,NO,YES,ALL,Y,Y,
5,CourtYard Village  ,17609 N 19th Ave Phoenix,602-993-0224,602-547-9016,2,YES,YES,1,YES,YES,WST,N,Y,
5,Copper Glen                   ,"3333 W Dunlap Phx, 85051",602-973-0672,602-841-2072,2-3,NO,YES,2,NO,YES,YES,N,N,
5,Crossroads,"2222 w Beardsley rd,phoenix az 85027",855-313-1802,,S-1-2-3,NO,FEW,PAID OFF,NO,YES,NO,Y,N,
5,Desert Sky,1106 w bell rd phoenix az 85023,602-863-4490,,S-1,NO,LOCATORS,,,,,,,
5,Dear Creek Village,20244 n 31st ave phx 85027,623-434-8000,623-434-8005,1-2,10 YRS,YES,2,YES,YES,NO,Y,N,
5,Deer Valley Regency,21220 n 23rd ave phx 85027,623-434-3370,623-582-3484,1-2,NO,LOCATORS,,,,,,,
5,Dear Valley Village,3010 w yorkshire phx 85027,623-492-0500,623-492-9889,1-2-3,NO,NO,PAID OFF,YES,YES,NO,Y,N,
5,Diamonte On Bell        ,3202 W Bell Rd Phx Az 85053,602-942-3500,602-942-3500,1-2,NO,LOCATORS,,,,,,,
